Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_0805_2012Metric","C_0805_2012Metric",73.000000,-40.000000,0.000000,top
"C2","C_1206_3216Metric","C_1206_3216Metric",73.000000,-47.000000,0.000000,top
"C3","C_0805_2012Metric","C_0805_2012Metric",90.000000,-33.000000,0.000000,top
"C4","C_1206_3216Metric","C_1206_3216Metric",90.000000,-47.000000,0.000000,top
"C5","C_0805_2012Metric","C_0805_2012Metric",73.000000,-33.000000,0.000000,top
"C6","C_0805_2012Metric","C_0805_2012Metric",46.000000,-11.000000,0.000000,top
"C7","C_0805_2012Metric","C_0805_2012Metric",70.000000,-11.000000,0.000000,top
"D1","SOT-23","SOT-23",93.000000,-32.000000,0.000000,top
"D2","D_SMB","D_SMB",20.000000,-48.000000,0.000000,top
"D3","D_SMA","D_SMA",27.000000,-32.000000,0.000000,top
"F1","Fuse_1206_3216Metric","Fuse_1206_3216Metric",20.000000,-32.000000,0.000000,top
"J1","Jack_XLR_Neutrik_NC5FBH_Horizontal","Jack_XLR_Neutrik_NC5FBH_Horizontal",111.000000,-40.000000,-90.000000,top
"J2","USB_C_Receptacle_GCT_USB4085","USB_C_Receptacle_GCT_USB4085",8.000000,-40.000000,90.000000,top
"JP1","PinHeader_1x02_P2.54mm_Vertical","PinHeader_1x02_P2.54mm_Vertical",93.000000,-47.000000,0.000000,top
"LED1","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",54.000000,-9.000000,0.000000,top
"R1","R_0805_2012Metric","R_0805_2012Metric",90.000000,-40.000000,0.000000,top
"R2","R_0805_2012Metric","R_0805_2012Metric",77.000000,-47.000000,0.000000,top
"R6","R_0805_2012Metric","R_0805_2012Metric",58.000000,-15.000000,0.000000,top
"Rcc1","R_0805_2012Metric","R_0805_2012Metric",20.000000,-40.000000,0.000000,top
"Rcc2","R_0805_2012Metric","R_0805_2012Metric",27.000000,-40.000000,0.000000,top
"U1","ESP32-POE-ISO","Olimex_ESP32-POE-ISO_socket",54.000000,-40.000000,0.000000,top
"U2","SOIC-20W_7.5x12.8mm_P1.27mm","SOIC-20W_7.5x12.8mm_P1.27mm",84.000000,-40.000000,0.000000,top
"U3","SOT-23-5","SOT-23-5",62.000000,-11.000000,0.000000,top
